,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Parit Buntar,5.1267,100.4932,84.18,70,100,4.27,MY,1631866838
1,Basco,20.4487,121.9702,84.97,72,99,12.19,PH,1631866838
2,Yertsevo,60.7966,40.086,40.68,80,96,4.85,RU,1631866839
3,Chara,56.9064,118.2631,43.74,48,62,4.99,RU,1631866841
4,Punta Arenas,-53.15,-70.9167,35.71,93,90,6.91,CL,1631866842
5,Morondava,-20.2833,44.2833,80.8,63,25,7.47,MG,1631866843
6,Rikitea,-23.1203,-134.9692,72.86,76,16,8.19,PF,1631866844
7,Jieshou,33.2634,115.3611,83.01,61,71,5.48,CN,1631866845
8,George Town,5.4112,100.3354,84.13,80,20,1.14,MY,1631866846
9,Nikolskoye,59.7035,30.7861,48.09,59,46,6.49,RU,1631866847
10,Geraldton,-28.7667,114.6,64.81,45,1,16.11,AU,1631866848
11,Umm Kaddadah,13.6017,26.6876,90.46,23,30,14.67,SD,1631866849
12,Tiksi,71.6872,128.8694,37.8,86,100,13.09,RU,1631866850
13,Arraial do Cabo,-22.9661,-42.0278,68.83,87,100,13.22,BR,1631866850
14,Albany,42.6001,-73.9662,64.98,97,28,2.17,US,1631866695
15,Vaini,-21.2,-175.2,71.76,100,20,2.3,TO,1631866852
16,Bengkulu,-3.8004,102.2655,85.69,67,67,8.43,ID,1631866854
17,Mohpa,21.3167,78.8167,85.35,81,100,12.59,IN,1631866855
18,Cape Town,-33.9258,18.4232,66.61,62,0,3.0,ZA,1631866703
19,Lebu,-37.6167,-73.65,46.87,90,74,3.15,CL,1631866856
20,Bluff,-46.6,168.3333,38.8,66,8,16.49,NZ,1631866857
21,Ukiah,39.1502,-123.2078,65.64,74,1,4.61,US,1631866858
22,Ichinoseki,38.9167,141.1333,68.65,91,100,2.28,JP,1631866858
23,Saint Paul Harbor,57.79,-152.4072,49.26,89,100,26.69,US,1631866859
24,Busselton,-33.65,115.3333,61.05,60,89,10.58,AU,1631866860
25,Mataura,-46.1927,168.8643,38.48,78,11,4.52,NZ,1631866862
26,Fort Nelson,58.8053,-122.7002,44.19,70,75,4.61,CA,1631866863
27,Las Tejeras,14.8,-88.6,63.52,97,97,3.31,HN,1631866863
28,Cabo San Lucas,22.8909,-109.9124,80.15,86,9,5.01,MX,1631866864
29,Durango,24.8333,-104.8333,61.86,73,49,1.97,MX,1631866582
30,New Norfolk,-42.7826,147.0587,54.91,62,100,3.8,AU,1631866866
31,Bredasdorp,-34.5322,20.0403,58.32,77,100,4.61,ZA,1631866867
32,Ostrovnoy,68.0531,39.5131,44.65,71,100,7.7,RU,1631866868
33,Manokwari,-0.8667,134.0833,82.62,70,97,3.2,ID,1631866868
34,Castro,-24.7911,-50.0119,53.47,97,100,9.06,BR,1631866869
35,Port Elizabeth,-33.918,25.5701,61.09,63,75,5.75,ZA,1631866871
36,La Rioja,42.25,-2.5,54.48,55,0,1.86,ES,1631866672
37,Tasiilaq,65.6145,-37.6368,35.76,65,85,7.11,GL,1631866872
38,Puerto Ayora,-0.7393,-90.3518,65.55,99,58,5.99,EC,1631866873
39,Kaitangata,-46.2817,169.8464,38.77,74,29,6.87,NZ,1631866874
40,Tautira,-17.7333,-149.15,77.02,78,35,18.75,PF,1631866875
41,Ribnitz-Damgarten,54.25,12.4667,58.12,83,100,15.23,DE,1631866876
42,Dikson,73.5069,80.5464,34.3,72,100,17.96,RU,1631866877
43,Evensk,61.95,159.2333,44.13,96,57,10.09,RU,1631866878
44,Shenjiamen,29.9576,122.298,76.21,68,7,11.1,CN,1631866879
45,Kapoeta,4.7717,33.5903,82.72,55,89,2.73,SS,1631866880
46,Lázaro Cárdenas,17.9583,-102.2,76.84,90,100,4.36,MX,1631866881
47,Ribeira Grande,38.5167,-28.7,72.0,83,75,16.11,PT,1631866882
48,Richards Bay,-28.783,32.0377,60.01,83,100,10.38,ZA,1631866884
49,Rocha,-34.4833,-54.3333,47.01,79,0,6.26,UY,1631866706
50,Los Llanos de Aridane,28.6585,-17.9182,70.12,70,75,11.5,ES,1631866885
51,Omsukchan,62.5333,155.8,44.8,77,13,8.01,RU,1631866886
52,Upernavik,72.7868,-56.1549,26.22,70,100,4.45,GL,1631866887
53,Zhigansk,66.7697,123.3711,48.09,53,100,10.2,RU,1631866893
54,Kapaa,22.0752,-159.319,79.12,75,100,1.01,US,1631866894
55,Bethel,41.3712,-73.414,69.04,90,90,1.99,US,1631866895
56,Point Fortin,10.1833,-61.6833,78.73,83,9,10.98,TT,1631866896
57,Merauke,-8.4667,140.3333,80.85,70,74,19.71,ID,1631866898
58,Thompson,55.7435,-97.8558,42.96,100,90,4.61,CA,1631866899
59,Bilibino,68.0546,166.4372,33.22,76,100,4.83,RU,1631866900
60,Örnsköldsvik,63.2909,18.7153,46.22,87,90,3.44,SE,1631866901
61,Natá,8.3333,-80.5167,74.71,92,66,3.27,PA,1631866902
62,Hermanus,-34.4187,19.2345,56.8,72,65,13.76,ZA,1631866902
63,Jalingo,8.8833,11.3667,75.29,94,100,5.7,NG,1631866903
64,Ushuaia,-54.8,-68.3,33.46,86,75,3.44,AR,1631866905
65,Atuona,-9.8,-139.0333,77.99,75,14,22.82,PF,1631866906
66,Norman Wells,65.282,-126.8329,44.64,81,75,4.61,CA,1631866907
67,Jamame,0.0722,42.7506,86.36,53,93,13.58,SO,1631866907
68,Calatayud,41.3535,-1.6432,73.54,63,23,2.75,ES,1631866909
69,São João da Barra,-21.6403,-41.0511,71.67,92,100,15.68,BR,1631866672
70,Yantzaza,-3.8278,-78.7594,62.87,99,100,0.85,EC,1631866910
71,Khatanga,71.9667,102.5,36.52,58,98,8.79,RU,1631866912
72,Conde,-7.2597,-34.9075,72.86,94,75,6.91,BR,1631866913
73,Batticaloa,7.7102,81.6924,88.23,61,97,12.19,LK,1631866914
74,Port Alfred,-33.5906,26.891,61.56,56,90,16.28,ZA,1631866914
75,Novo Horizonte,-21.4681,-49.2208,64.85,82,9,11.63,BR,1631866915
76,Bintulu,3.1667,113.0333,86.41,74,20,6.91,MY,1631866916
77,Westport,41.1415,-73.3579,71.74,93,90,8.99,US,1631866917
78,Lazurne,46.084,32.5295,72.05,46,78,6.87,UA,1631866918
79,Sisimiut,66.9395,-53.6735,31.1,53,45,9.04,GL,1631866919
80,Touros,-5.1989,-35.4608,74.3,89,69,13.53,BR,1631866920
81,Burnie,-41.0667,145.9167,53.92,92,100,8.81,AU,1631866921
82,Butaritari,3.0707,172.7902,82.69,68,49,12.55,KI,1631866922
83,Khovd,48.0056,91.6419,68.47,25,71,9.73,MN,1631866923
84,Avarua,-21.2078,-159.775,75.25,83,90,13.8,CK,1631866924
85,Taitung City,22.7583,121.1444,86.27,74,75,4.61,TW,1631866925
86,Lagoa,39.05,-27.9833,68.34,80,100,15.35,PT,1631866925
87,Kupang,-10.1667,123.5833,88.38,51,20,21.85,ID,1631866926
88,Pangnirtung,66.1451,-65.7125,33.51,81,100,2.42,CA,1631866927
89,Hithadhoo,-0.6,73.0833,82.92,73,100,8.7,MV,1631866928
90,Vardø,70.3705,31.1107,41.2,75,75,13.8,NO,1631866929
91,Vista Hermosa,19.5167,-99.2167,61.99,82,75,3.44,MX,1631866930
92,Lavrentiya,65.5833,-171.0,35.2,68,86,2.89,RU,1631866931
93,Hastings,50.8552,0.5729,64.4,81,100,6.26,GB,1631866931
94,Yellowknife,62.456,-114.3525,41.52,81,75,6.91,CA,1631866932
